Member_number,Recency,Frequency,Monetary,R,F,M,RFM_Segment,RFM_Score
3489,42,15,135.6,4,4,4,444,12
1561,158,19,135.55,2,4,4,244,10
2760,144,23,135.4,2,4,4,244,10
4108,94,14,135.35,3,4,4,344,11
3782,330,18,135.34,1,4,4,144,9
4335,25,17,135.32,4,4,4,444,12
1798,363,17,135.2,1,4,4,144,9
2645,186,18,135.1,2,4,4,244,10
3414,68,13,135.0,3,3,4,334,10
3749,296,9,134.98,1,2,4,124,7
4572,62,18,134.8,3,4,4,344,11
2437,45,15,134.7,4,4,4,444,12
3942,50,23,134.61,4,4,4,444,12
4418,87,8,134.6,3,2,4,324,9
4356,29,9,134.5,4,2,4,424,10
2595,341,17,134.45,1,4,4,144,9
4056,71,16,134.45,3,4,4,344,11
2340,32,18,134.4,4,4,4,444,12
2028,10,13,134.29,4,3,4,434,11
4988,10,17,134.2,4,4,4,444,12
3522,98,10,134.2,3,3,4,334,10
4567,89,12,134.0,3,3,4,334,10
2784,47,13,133.95,4,3,4,434,11
4992,193,11,133.9,2,3,4,234,9
2415,144,14,133.9,2,4,4,244,10
3617,257,11,133.9,2,3,4,234,9
4633,135,14,133.8,3,4,4,344,11
4820,23,18,133.8,4,4,4,444,12
2771,126,7,133.7,3,2,4,324,9
1733,190,17,133.6,2,4,4,244,10
4138,81,12,133.39,3,3,4,334,10
2849,36,11,133.35,4,3,4,434,11
4441,51,16,133.3,4,4,4,444,12
2978,35,19,133.3,4,4,4,444,12
1144,76,16,133.25,3,4,4,344,11
1817,131,12,133.2,3,3,4,334,10
3878,155,16,133.0,2,4,4,244,10
2785,73,10,132.96,3,3,4,334,10
4006,12,12,132.81,4,3,4,434,11
3186,35,10,132.8,4,3,4,434,11
2540,300,17,132.7,1,4,4,144,9
2769,152,12,132.63,2,3,4,234,9
3325,31,13,132.62,4,3,4,434,11
1619,62,11,132.61,3,3,4,334,10
3144,136,13,132.52,3,3,4,334,10
3743,238,17,132.5,2,4,4,244,10
3679,7,21,132.39,4,4,4,444,12
4104,30,16,132.35,4,4,4,444,12
3268,54,16,132.27,4,4,4,444,12
1726,4,13,132.1,4,3,4,434,11
3881,267,13,132.05,2,3,4,234,9
1342,314,13,132.05,1,3,4,134,8
1616,22,13,132.0,4,3,4,434,11
3963,104,13,131.85,3,3,4,334,10
3166,246,14,131.8,2,4,4,244,10
3843,74,9,131.8,3,2,4,324,9
3181,17,14,131.7,4,4,4,444,12
4156,149,13,131.64,2,3,4,234,9
3557,163,11,131.63,2,3,4,234,9
3450,6,17,131.56,4,4,4,444,12
1356,113,10,131.44,3,3,4,334,10
2284,287,13,131.4,1,3,4,134,8
2747,122,12,131.3,3,3,4,334,10
2252,83,20,131.17,3,4,4,344,11
4252,264,9,131.16,2,2,4,224,8
4288,47,12,131.0,4,3,4,434,11
3025,72,11,131.0,3,3,4,334,10
2944,332,13,130.9,1,3,4,134,8
1540,34,12,130.9,4,3,4,434,11
4258,19,13,130.7,4,3,4,434,11
1507,191,16,130.6,2,4,4,244,10
4266,152,19,130.5,2,4,4,244,10
4163,214,15,130.5,2,4,4,244,10
3258,224,13,130.34,2,3,4,234,9
4503,11,11,130.3,4,3,4,434,11
3284,41,16,130.2,4,4,4,444,12
2523,179,15,130.06,2,4,4,244,10
4124,112,17,130.05,3,4,4,344,11
4211,470,12,130.0,1,3,4,134,8
2676,53,14,129.9,4,4,4,444,12
2825,1,10,129.9,4,3,4,434,11
3128,122,17,129.8,3,4,4,344,11
1948,127,21,129.75,3,4,4,344,11
1027,227,9,129.7,2,2,4,224,8
4277,24,23,129.66,4,4,4,444,12
4129,53,17,129.64,4,4,4,444,12
3497,36,22,129.4,4,4,4,444,12
4525,84,15,129.4,3,4,4,344,11
1107,90,20,129.38,3,4,4,344,11
4337,65,9,129.34,3,2,4,324,9
1062,103,16,129.32,3,4,4,344,11
2452,141,11,129.16,3,3,4,334,10
2356,121,14,129.0,3,4,4,344,11
4692,64,15,129.0,3,4,4,344,11
3500,162,17,128.95,2,4,4,244,10
4095,1,6,128.9,4,1,4,414,9
4637,230,11,128.9,2,3,4,234,9
2215,34,14,128.8,4,4,4,444,12
4427,333,12,128.7,1,3,4,134,8
4485,158,12,128.55,2,3,4,234,9
4340,5,13,128.5,4,3,4,434,11
4515,198,19,128.5,2,4,4,244,10
3232,12,16,128.45,4,4,4,444,12
2315,10,14,128.42,4,4,4,444,12
2186,120,20,128.25,3,4,4,344,11
4169,36,15,128.2,4,4,4,444,12
3081,463,15,128.03,1,4,4,144,9
1606,49,8,128.0,4,2,4,424,10
2194,208,15,127.91,2,4,4,244,10
1758,307,14,127.84,1,4,4,144,9
1759,95,12,127.8,3,3,4,334,10
2757,14,10,127.8,4,3,4,434,11
2504,138,11,127.7,3,3,4,334,10
4546,118,11,127.7,3,3,4,334,10
1878,33,21,127.61,4,4,4,444,12
3354,31,15,127.6,4,4,4,444,12
1500,284,16,127.52,1,4,4,144,9
2860,10,14,127.48,4,4,4,444,12
4780,102,20,127.22,3,4,4,344,11
1668,131,11,127.2,3,3,4,334,10
4194,233,14,127.2,2,4,4,244,10
4880,475,6,127.1,1,1,4,114,6
3294,180,13,127.05,2,3,4,234,9
4164,461,10,127.05,1,3,4,134,8
1225,224,19,127.0,2,4,4,244,10
2160,85,12,126.96,3,3,4,334,10
4160,140,13,126.92,3,3,4,334,10
1929,173,21,126.9,2,4,4,244,10
2617,222,16,126.85,2,4,4,244,10
2475,50,14,126.8,4,4,4,444,12
4107,45,12,126.65,4,3,4,434,11
3954,323,7,126.5,1,2,4,124,7
1783,176,18,126.24,2,4,4,244,10
1853,213,9,126.1,2,2,4,224,8
4182,131,14,126.1,3,4,4,344,11
1289,52,11,125.9,4,3,4,434,11
1740,404,16,125.8,1,4,4,144,9
1690,131,16,125.8,3,4,4,344,11
4776,66,17,125.7,3,4,4,344,11
1703,312,14,125.6,1,4,4,144,9
2692,82,10,125.6,3,3,4,334,10
2507,0,13,125.6,4,3,4,434,11
4718,117,13,125.49,3,3,4,334,10
3903,85,19,125.4,3,4,4,344,11
2950,81,15,125.34,3,4,4,344,11
3504,55,18,125.28,4,4,4,444,12
2597,137,15,125.25,3,4,4,344,11
3613,86,12,125.24,3,3,4,334,10
3769,306,11,125.15,1,3,4,134,8
4569,156,12,125.14,2,3,4,234,9
1242,16,17,125.11,4,4,4,444,12
4110,32,16,124.95,4,4,4,444,12
4938,20,16,124.87,4,4,4,444,12
1523,277,10,124.75,2,3,4,234,9
3297,223,12,124.7,2,3,4,234,9
4117,20,15,124.64,4,4,4,444,12
3655,317,5,124.6,1,1,4,114,6
1050,240,14,124.6,2,4,4,244,10
1753,131,17,124.5,3,4,4,344,11
1286,140,16,124.45,3,4,4,344,11
2465,3,11,124.3,4,3,4,434,11
1343,59,10,124.22,3,3,4,334,10
4223,84,17,124.2,3,4,4,344,11
1126,227,9,124.2,2,2,4,224,8
4719,2,16,124.1,4,4,4,444,12
2907,376,17,124.05,1,4,4,144,9
4580,31,8,124.02,4,2,4,424,10
3539,340,14,124.0,1,4,4,144,9
2580,43,12,124.0,4,3,4,434,11
3102,26,7,123.86,4,2,4,424,10
1269,91,14,123.62,3,4,4,344,11
4853,87,12,123.6,3,3,4,334,10
3054,185,18,123.6,2,4,4,244,10
2707,73,17,123.56,3,4,4,344,11
4362,172,15,123.55,2,4,4,244,10
2534,52,14,123.52,4,4,4,444,12
3460,36,16,123.5,4,4,4,444,12
3041,106,14,123.49,3,4,4,344,11
1497,81,9,123.42,3,2,4,324,9
3683,25,14,123.12,4,4,4,444,12
3042,3,22,123.1,4,4,4,444,12
3863,200,14,122.92,2,4,4,244,10
4191,57,13,122.8,4,3,4,434,11
3910,12,13,122.74,4,3,4,434,11
4760,272,18,122.7,2,4,4,244,10
3298,218,10,122.7,2,3,4,234,9
3900,10,14,122.64,4,4,4,444,12
1768,117,19,122.61,3,4,4,344,11
4736,162,11,122.6,2,3,4,234,9
1501,135,10,122.6,3,3,4,334,10
2303,518,6,122.6,1,1,4,114,6
4336,81,15,122.5,3,4,4,344,11
3794,34,11,122.4,4,3,4,434,11
2167,22,9,122.4,4,2,4,424,10
4643,28,16,122.15,4,4,4,444,12
3911,129,16,122.04,3,4,4,344,11
2672,34,12,121.8,4,3,4,434,11
2510,92,14,121.8,3,4,4,344,11
4448,358,12,121.7,1,3,4,134,8
1692,185,15,121.65,2,4,4,244,10
3814,162,13,121.64,2,3,4,234,9
2307,184,11,121.62,2,3,4,234,9
2850,278,9,121.6,2,2,4,224,8
3549,151,20,121.6,2,4,4,244,10
3360,46,10,121.6,4,3,4,434,11
2494,118,16,121.4,3,4,4,344,11
4623,175,14,121.4,2,4,4,244,10
4886,338,10,121.31,1,3,4,134,8
1209,414,9,121.29,1,2,4,124,7
2321,197,13,121.2,2,3,4,234,9
4968,47,7,121.2,4,2,4,424,10
2338,22,11,121.2,4,3,4,434,11
1114,173,16,121.12,2,4,4,244,10
4179,284,9,121.1,1,2,4,124,7
1823,33,11,120.9,4,3,4,434,11
1549,287,9,120.85,1,2,4,124,7
2336,84,11,120.84,3,3,4,334,10
4073,58,13,120.75,3,3,4,334,10
3044,92,19,120.62,3,4,4,344,11
2157,62,11,120.56,3,3,4,334,10
1971,103,8,120.55,3,2,4,324,9
4190,3,21,120.49,4,4,4,444,12
1294,373,12,120.4,1,3,4,134,8
3597,17,6,120.3,4,1,4,414,9
3328,76,11,120.12,3,3,4,334,10
3689,154,10,120.1,2,3,4,234,9
3835,105,21,120.05,3,4,4,344,11
3967,37,16,119.99,4,4,4,444,12
3600,34,15,119.92,4,4,4,444,12
4019,124,17,119.9,3,4,4,344,11
3786,233,13,119.9,2,3,4,234,9
3699,18,9,119.8,4,2,4,424,10
4170,172,15,119.65,2,4,4,244,10
3962,101,14,119.65,3,4,4,344,11
1636,25,12,119.6,4,3,4,434,11
2552,359,13,119.52,1,3,4,134,8
3296,135,14,119.5,3,4,4,344,11
3891,38,13,119.49,4,3,4,434,11
4766,92,17,119.26,3,4,4,344,11
4147,105,12,119.1,3,3,4,334,10
1780,78,21,119.05,3,4,4,344,11
3947,200,10,119.0,2,3,4,234,9
3604,226,15,119.0,2,4,4,244,10
4091,2,14,118.95,4,4,4,444,12
2004,131,13,118.8,3,3,4,334,10
4962,276,11,118.8,2,3,4,234,9
1148,94,19,118.76,3,4,4,344,11
4505,257,13,118.75,2,3,4,234,9
4743,179,13,118.64,2,3,4,234,9
3818,13,14,118.6,4,4,4,444,12
4550,51,15,118.6,4,4,4,444,12
1160,40,15,118.51,4,4,4,444,12
1628,41,15,118.4,4,4,4,444,12
1330,58,11,118.4,3,3,4,334,10
1895,402,13,118.38,1,3,4,134,8
3160,238,10,118.26,2,3,4,234,9
1347,106,13,118.2,3,3,4,334,10
4556,135,9,118.2,3,2,4,324,9
4440,29,12,118.2,4,3,4,434,11
3931,297,13,118.1,1,3,4,134,8
3067,33,10,118.08,4,3,4,434,11
3300,85,11,117.95,3,3,4,334,10
4787,140,12,117.9,3,3,4,334,10
4779,51,16,117.9,4,4,4,444,12
4722,14,10,117.9,4,3,4,434,11
2840,145,15,117.9,2,4,4,244,10
2166,20,15,117.75,4,4,4,444,12
3476,185,15,117.68,2,4,4,244,10
4305,159,15,117.66,2,4,4,244,10
2201,222,14,117.65,2,4,4,244,10
1741,10,13,117.6,4,3,4,434,11
1022,571,6,117.5,1,1,4,114,6
3122,60,24,117.42,3,4,4,344,11
2715,177,15,117.4,2,4,4,244,10
3141,44,17,117.4,4,4,4,444,12
3356,221,16,117.3,2,4,4,244,10
2311,59,17,117.2,3,4,4,344,11
3829,150,8,117.2,2,2,4,224,8
2869,20,14,117.1,4,4,4,444,12
3444,631,8,117.06,1,2,4,124,7
3189,37,17,117.04,4,4,4,444,12
1632,15,14,117.04,4,4,4,444,12
4470,7,14,117.0,4,4,4,444,12
3200,273,8,116.9,2,2,4,224,8
2063,33,13,116.9,4,3,4,434,11
4563,186,12,116.8,2,3,4,234,9
3396,230,13,116.8,2,3,4,234,9
2652,4,13,116.69,4,3,4,434,11
3488,9,7,116.65,4,2,4,424,10
4537,10,13,116.5,4,3,4,434,11
4669,188,10,116.48,2,3,4,234,9
3804,192,9,116.32,2,2,4,224,8
2349,166,16,116.32,2,4,4,244,10
2816,80,24,116.3,3,4,4,344,11
2885,41,14,116.0,4,4,4,444,12
3620,195,15,116.0,2,4,4,244,10
3206,78,12,115.91,3,3,4,334,10
1486,16,17,115.9,4,4,4,444,12
1945,244,14,115.9,2,4,4,244,10
1513,48,10,115.8,4,3,4,434,11
3523,51,15,115.55,4,4,4,444,12
1674,26,12,115.55,4,3,4,434,11
1930,45,13,115.3,4,3,4,434,11
3637,8,13,115.3,4,3,4,434,11
4289,83,9,115.3,3,2,4,324,9
1482,38,20,115.28,4,4,4,444,12
4071,76,9,115.26,3,2,4,324,9
3785,501,9,115.2,1,2,4,124,7
4387,105,17,115.2,3,4,4,344,11
1661,52,17,115.16,4,4,4,444,12
2341,373,10,115.02,1,3,4,134,8
1254,255,5,115.0,2,1,4,214,7
4152,195,16,115.0,2,4,4,244,10
1973,67,2,114.9,3,1,3,313,7
2700,45,9,114.88,4,2,3,423,9
1639,81,7,114.8,3,2,3,323,8
4352,1,13,114.75,4,3,3,433,10
4598,42,18,114.7,4,4,3,443,11
2453,9,15,114.69,4,4,3,443,11
1954,146,11,114.62,2,3,3,233,8
3435,417,10,114.6,1,3,3,133,7
4426,207,15,114.5,2,4,3,243,9
1480,39,13,114.44,4,3,3,433,10
1535,180,8,114.36,2,2,3,223,7
4652,266,13,114.3,2,3,3,233,8
1305,220,12,114.3,2,3,3,233,8
1178,45,11,114.24,4,3,3,433,10
3113,195,12,114.1,2,3,3,233,8
4162,8,14,114.0,4,4,3,443,11
3095,78,16,114.0,3,4,3,343,10
4608,35,12,114.0,4,3,3,433,10
4784,110,5,114.0,3,1,3,313,7
3491,65,14,113.8,3,4,3,343,10
1041,272,10,113.75,2,3,3,233,8
1493,90,15,113.7,3,4,3,343,10
3111,7,16,113.7,4,4,3,443,11
4150,126,12,113.7,3,3,3,333,9
3139,253,16,113.66,2,4,3,243,9
3204,236,11,113.62,2,3,3,233,8
2043,253,16,113.56,2,4,3,243,9
1162,146,12,113.5,2,3,3,233,8
4720,311,13,113.4,1,3,3,133,7
2235,66,13,113.35,3,3,3,333,9
3353,138,19,113.35,3,4,3,343,10
1658,118,12,113.3,3,3,3,333,9
2035,7,11,113.22,4,3,3,433,10
3552,119,13,113.16,3,3,3,333,9
4178,47,20,113.15,4,4,3,443,11
3719,13,19,113.1,4,4,3,443,11
4933,306,21,113.05,1,4,3,143,8
2863,541,7,113.0,1,2,3,123,6
1750,325,12,112.96,1,3,3,133,7
1279,111,17,112.9,3,4,3,343,10
3746,51,13,112.9,4,3,3,433,10
3653,51,11,112.8,4,3,3,433,10
1765,294,8,112.8,1,2,3,123,6
3224,291,10,112.76,1,3,3,133,7
3329,312,13,112.6,1,3,3,133,7
1179,475,5,112.6,1,1,3,113,5
1472,102,16,112.6,3,4,3,343,10
2592,90,15,112.54,3,4,3,343,10
4573,7,16,112.5,4,4,3,443,11
3573,271,9,112.4,2,2,3,223,7
1067,163,8,112.3,2,2,3,223,7
3370,48,11,112.1,4,3,3,433,10
3817,366,14,112.0,1,4,3,143,8
4859,112,8,112.0,3,2,3,323,8
1947,532,9,112.0,1,2,3,123,6
2061,3,9,112.0,4,2,3,423,9
1026,216,16,111.95,2,4,3,243,9
4213,129,8,111.9,3,2,3,323,8
1476,126,13,111.84,3,3,3,333,9
2925,19,16,111.8,4,4,3,443,11
2991,317,12,111.78,1,3,3,133,7
4323,13,12,111.7,4,3,3,433,10
1742,18,9,111.7,4,2,3,423,9
4872,432,12,111.62,1,3,3,133,7
2478,484,5,111.45,1,1,3,113,5
4326,54,12,111.36,4,3,3,433,10
4463,57,10,111.3,4,3,3,433,10
2401,11,10,111.3,4,3,3,433,10
1896,379,12,111.3,1,3,3,133,7
2097,90,11,111.27,3,3,3,333,9
2128,142,11,111.23,2,3,3,233,8
2562,411,10,111.2,1,3,3,133,7
3203,145,12,111.2,2,3,3,233,8
4469,73,7,111.2,3,2,3,323,8
2358,15,9,111.16,4,2,3,423,9
4579,62,16,111.15,3,4,3,343,10
4891,85,13,111.1,3,3,3,333,9
2406,23,17,110.96,4,4,3,443,11
2320,387,10,110.9,1,3,3,133,7
4444,85,15,110.8,3,4,3,343,10
3998,16,17,110.8,4,4,3,443,11
1454,69,11,110.7,3,3,3,333,9
4975,58,13,110.7,3,3,3,333,9
4939,77,16,110.7,3,4,3,343,10
4077,148,14,110.7,2,4,3,243,9
3588,15,13,110.7,4,3,3,433,10
4814,108,14,110.7,3,4,3,343,10
1863,148,14,110.6,2,4,3,243,9
2325,258,15,110.58,2,4,3,243,9
2666,16,16,110.55,4,4,3,443,11
3864,18,15,110.5,4,4,3,443,11
1946,22,12,110.5,4,3,3,433,10
2104,71,9,110.4,3,2,3,323,8
3364,107,12,110.4,3,3,3,333,9
3656,294,9,110.15,1,2,3,123,6
2339,589,10,110.0,1,3,3,133,7
4893,304,8,109.9,1,2,3,123,6
2129,141,15,109.9,3,4,3,343,10
1808,162,10,109.8,2,3,3,233,8
1073,27,12,109.8,4,3,3,433,10
1844,47,15,109.72,4,4,3,443,11
4224,24,12,109.6,4,3,3,433,10
1588,78,8,109.54,3,2,3,323,8
3675,149,11,109.5,2,3,3,233,8
4785,108,12,109.42,3,3,3,333,9
4741,96,16,109.4,3,4,3,343,10
1776,259,14,109.3,2,4,3,243,9
2231,27,15,109.2,4,4,3,443,11
4606,229,13,109.2,2,3,3,233,8
1892,40,15,109.12,4,4,3,443,11
1655,40,9,109.1,4,2,3,423,9
4531,75,17,109.07,3,4,3,343,10
3275,65,8,109.0,3,2,3,323,8
4281,73,13,108.96,3,3,3,333,9
2262,56,10,108.95,4,3,3,433,10
1185,128,10,108.9,3,3,3,333,9
2176,144,13,108.8,2,3,3,233,8
4852,131,20,108.8,3,4,3,343,10
1754,104,14,108.8,3,4,3,343,10
4855,243,10,108.8,2,3,3,233,8
4827,33,14,108.7,4,4,3,443,11
3348,25,14,108.65,4,4,3,443,11
1557,148,4,108.6,2,1,3,213,6
2204,94,12,108.6,3,3,3,333,9
4120,19,11,108.6,4,3,3,433,10
4618,14,12,108.5,4,3,3,433,10
4627,12,4,108.5,4,1,3,413,8
2102,234,12,108.5,2,3,3,233,8
3669,323,12,108.48,1,3,3,133,7
1491,0,11,108.4,4,3,3,433,10
2727,15,10,108.4,4,3,3,433,10
2246,123,5,108.3,3,1,3,313,7
1277,29,15,108.21,4,4,3,443,11
1297,382,9,108.15,1,2,3,123,6
1806,177,10,108.12,2,3,3,233,8
2226,296,13,108.1,1,3,3,133,7
1951,69,6,108.1,3,1,3,313,7
4015,278,17,108.04,2,4,3,243,9
3390,29,11,108.04,4,3,3,433,10
2083,53,12,108.0,4,3,3,433,10
1757,7,15,108.0,4,4,3,443,11
4712,381,10,107.9,1,3,3,133,7
4769,101,12,107.85,3,3,3,333,9
3133,5,8,107.8,4,2,3,423,9
1211,220,16,107.75,2,4,3,243,9
2395,408,5,107.6,1,1,3,113,5
1028,172,13,107.6,2,3,3,233,8
1290,99,13,107.5,3,3,3,333,9
2162,194,10,107.5,2,3,3,233,8
2107,33,18,107.5,4,4,3,443,11
3190,39,12,107.46,4,3,3,433,10
3793,145,18,107.42,2,4,3,243,9
1285,162,14,107.4,2,4,3,243,9
4673,385,7,107.4,1,2,3,123,6
4793,36,10,107.4,4,3,3,433,10
4680,125,9,107.39,3,2,3,323,8
4906,91,11,107.34,3,3,3,333,9
4358,54,6,107.3,4,1,3,413,8
2300,102,10,107.3,3,3,3,333,9
1634,27,19,107.3,4,4,3,443,11
1810,443,12,107.2,1,3,3,133,7
2711,108,14,107.2,3,4,3,343,10
1428,346,13,107.14,1,3,3,133,7
1656,61,12,107.14,3,3,3,333,9
2730,50,11,107.11,4,3,3,433,10
1724,112,11,107.0,3,3,3,333,9
1475,13,10,106.93,4,3,3,433,10
3997,79,10,106.9,3,3,3,333,9
1603,91,15,106.75,3,4,3,343,10
1835,191,10,106.64,2,3,3,233,8
4704,131,11,106.6,3,3,3,333,9
2813,44,15,106.6,4,4,3,443,11
1396,161,8,106.52,2,2,3,223,7
1097,59,17,106.48,3,4,3,343,10
2364,113,15,106.3,3,4,3,343,10
3583,27,15,106.2,4,4,3,443,11
1450,44,15,106.1,4,4,3,443,11
4227,132,7,106.1,3,2,3,323,8
4922,13,10,106.0,4,3,3,433,10
1978,299,6,105.9,1,1,3,113,5
2255,12,12,105.85,4,3,3,433,10
2337,137,13,105.8,3,3,3,333,9
2362,37,14,105.75,4,4,3,443,11
2909,236,11,105.7,2,3,3,233,8
4455,4,16,105.66,4,4,3,443,11
1788,10,16,105.55,4,4,3,443,11
4207,124,15,105.55,3,4,3,343,10
3685,126,9,105.55,3,2,3,323,8
1652,288,12,105.5,1,3,3,133,7
3094,85,17,105.45,3,4,3,343,10
4693,134,18,105.39,3,4,3,343,10
4812,217,15,105.3,2,4,3,243,9
1468,82,15,105.24,3,4,3,343,10
2656,14,10,105.1,4,3,3,433,10
2509,168,8,105.1,2,2,3,223,7
1884,19,12,105.05,4,3,3,433,10
2873,118,16,105.0,3,4,3,343,10
4134,32,14,104.95,4,4,3,443,11
1252,261,10,104.9,2,3,3,233,8
1825,39,13,104.9,4,3,3,433,10
4843,231,11,104.85,2,3,3,233,8
3214,8,15,104.8,4,4,3,443,11
2469,98,13,104.8,3,3,3,333,9
1381,282,15,104.75,1,4,3,143,8
1016,86,11,104.7,3,3,3,333,9
4660,173,8,104.7,2,2,3,223,7
2701,501,11,104.69,1,3,3,133,7
4373,140,7,104.6,3,2,3,323,8
2590,14,10,104.5,4,3,3,433,10
3342,191,8,104.5,2,2,3,223,7
2236,330,13,104.36,1,3,3,133,7
1092,82,20,104.31,3,4,3,343,10
2691,56,10,104.3,4,3,3,433,10
4217,12,25,104.25,4,4,3,443,11
3226,431,8,104.2,1,2,3,123,6
3790,63,13,104.1,3,4,3,343,10
3721,179,10,104.02,2,3,3,233,8
1735,511,5,104.0,1,1,3,113,5
1992,124,8,103.8,3,2,3,323,8
3355,28,6,103.8,4,1,3,413,8
1326,51,11,103.8,4,3,3,433,10
3281,66,6,103.7,3,1,3,313,7
3137,128,18,103.7,3,4,3,343,10
4274,91,12,103.6,3,3,3,333,9
2196,82,14,103.4,3,4,3,343,10
1591,285,10,103.2,1,3,3,133,7
2604,101,14,103.1,3,4,3,343,10
1559,88,7,103.0,3,2,3,323,8
2081,342,10,103.0,1,3,3,133,7
3421,232,11,102.75,2,3,3,233,8
1083,327,7,102.7,1,2,3,123,6
1440,24,12,102.6,4,3,3,433,10
4554,125,9,102.6,3,2,3,323,8
2175,299,13,102.52,1,4,3,143,8
1767,67,12,102.36,3,3,3,333,9
4042,13,16,102.35,4,4,3,443,11
3728,48,13,102.35,4,4,3,443,11
2305,93,7,102.34,3,2,3,323,8
1612,54,16,102.3,4,4,3,443,11
2633,33,16,102.2,4,4,3,443,11
1406,2,12,102.2,4,3,3,433,10
4845,79,8,102.2,3,2,3,323,8
3409,19,13,102.2,4,4,3,443,11
2937,152,17,102.16,2,4,3,243,9
3470,87,9,102.14,3,2,3,323,8
3917,108,13,102.14,3,4,3,343,10
4817,10,12,102.0,4,3,3,433,10
2037,255,8,101.95,2,2,3,223,7
4645,1,20,101.9,4,4,3,443,11
4060,19,7,101.9,4,2,3,423,9
2055,52,17,101.85,4,4,3,443,11
4175,335,7,101.8,1,2,3,123,6
4239,322,4,101.8,1,1,3,113,5
2815,111,8,101.8,3,2,3,323,8
3107,44,14,101.7,4,4,3,443,11
2191,50,10,101.67,4,3,3,433,10
4201,77,12,101.65,3,3,3,333,9
1587,182,13,101.62,2,4,3,243,9
2359,124,13,101.62,3,4,3,343,10
4519,57,5,101.6,4,1,3,413,8
1276,37,13,101.5,4,4,3,443,11
1153,22,17,101.5,4,4,3,443,11
1958,180,7,101.5,2,2,3,223,7
3030,381,10,101.4,1,3,3,133,7
4757,197,12,101.4,2,3,3,233,8
3758,117,13,101.4,3,4,3,343,10
2693,58,11,101.4,3,3,3,333,9
1716,501,8,101.2,1,2,3,123,6
1380,39,11,101.1,4,3,3,433,10
2893,18,11,101.1,4,3,3,433,10
1779,63,9,101.1,3,2,3,323,8
3937,41,10,101.1,4,3,3,433,10
1968,88,11,101.0,3,3,3,333,9
1361,113,17,100.9,3,4,3,343,10
2238,24,12,100.9,4,3,3,433,10
3229,145,12,100.8,2,3,3,233,8
2879,2,13,100.7,4,4,3,443,11
1970,567,9,100.7,1,2,3,123,6
2459,99,13,100.7,3,4,3,343,10
1191,144,6,100.6,2,1,3,213,6
2646,49,7,100.6,4,2,3,423,9
1505,64,8,100.56,3,2,3,323,8
2518,180,12,100.5,2,3,3,233,8
3572,174,4,100.4,2,1,3,213,6
2391,25,15,100.4,4,4,3,443,11
1789,69,10,100.4,3,3,3,333,9
3051,31,13,100.2,4,4,3,443,11
3140,125,12,100.13,3,3,3,333,9
4871,45,7,100.12,4,2,3,423,9
2688,38,13,100.1,4,4,3,443,11
3176,151,13,100.1,2,4,3,243,9
3595,13,17,100.1,4,4,3,443,11
1663,49,13,100.1,4,4,3,443,11
1001,242,12,100.0,2,3,3,233,8
1710,25,6,100.0,4,1,3,413,8
3846,336,12,99.97,1,3,3,133,7
2286,26,6,99.9,4,1,3,413,8
3976,101,13,99.88,3,4,3,343,10
1390,303,12,99.87,1,3,3,133,7
2581,16,12,99.85,4,3,3,433,10
4698,66,7,99.8,3,2,3,323,8
1928,104,9,99.8,3,2,3,323,8
2519,210,14,99.7,2,4,3,243,9
1256,123,12,99.65,3,3,3,333,9
4384,99,14,99.6,3,4,3,343,10
4883,124,10,99.52,3,3,3,333,9
3751,363,9,99.5,1,2,3,123,6
4990,16,8,99.4,4,2,3,423,9
4255,119,11,99.36,3,3,3,333,9
2496,28,8,99.36,4,2,3,423,9
4809,93,12,99.26,3,3,3,333,9
1850,294,8,99.2,1,2,3,123,6
3919,84,10,99.2,3,3,3,333,9
1901,31,12,99.2,4,3,3,433,10
2761,249,15,99.18,2,4,3,243,9
4879,79,9,99.15,3,2,3,323,8
3005,171,11,99.1,2,3,3,233,8
2678,32,11,99.05,4,3,3,433,10
1045,35,8,98.9,4,2,3,423,9
1922,84,19,98.9,3,4,3,343,10
3062,151,11,98.82,2,3,3,233,8
2817,8,10,98.8,4,3,3,433,10
4295,65,11,98.7,3,3,3,333,9
4600,169,11,98.65,2,3,3,233,8
3591,119,8,98.65,3,2,3,323,8
2245,229,8,98.56,2,2,3,223,7
2563,1,14,98.55,4,4,3,443,11
4395,188,8,98.5,2,2,3,223,7
2806,633,10,98.5,1,3,3,133,7
4700,186,16,98.45,2,4,3,243,9
2574,19,11,98.44,4,3,3,433,10
3548,202,15,98.41,2,4,3,243,9
2430,344,12,98.4,1,3,3,133,7
1699,96,10,98.4,3,3,3,333,9
1358,1,12,98.4,4,3,3,433,10
1233,139,19,98.36,3,4,3,343,10
3529,108,15,98.35,3,4,3,343,10
4101,244,8,98.3,2,2,3,223,7
2867,7,15,98.22,4,4,3,443,11
4482,30,11,98.2,4,3,3,433,10
4646,152,12,98.14,2,3,3,233,8
2393,257,14,98.1,2,4,3,243,9
4981,354,9,98.1,1,2,3,123,6
4942,37,10,98.1,4,3,3,433,10
4959,183,12,98.1,2,3,3,233,8
1492,335,11,98.0,1,3,3,133,7
2719,214,14,98.0,2,4,3,243,9
3789,79,11,97.92,3,3,3,333,9
2756,37,10,97.9,4,3,3,433,10
4402,447,5,97.9,1,1,3,113,5
2291,101,12,97.85,3,3,3,333,9
